Social Media Name,Reviews,Label
WhatsApp,I am facing a problem whil loging in. I had temporarily disabled my account 2 days ago and now when i try loging in it shows problem in loging in. I request instagram to solve this problem,not good
WhatsApp,Good use & updates,good
LINE,I love this app,good
WhatsApp,I love this app but I have picked up scammers from here which I am very careful for I just had 2 of them recently,good
Snapchat,Please fix the thing where it says photo can not be posted and it won't go away,neutral
Instagram,I'm surely lending my phone with my lock how cool to chat like this omg,good
Snapchat,follow and support @_ya__d_a_v ,good
Facebook,Jyothi,good
Instagram,Very beautiful,good
Instagram,I have been experiencing a crash lately...usually is a great app,good
Instagram,Great help,good
Instagram,Abnormal premix I Love My baby I love you my Jaanu My phone is on the phone with my mom is going to be a good day,good
TikTok,Pls help...even after resetting my password am unable to login,not good
LINE,I don't like where the add post button was relocated!,not good
Facebook,A really Good app but the new features isn't provided to everyone it's only provided to the old users....Please also provide it to the new users ,good
Instagram,Love it,good
Facebook,Good app,good
LINE,There's a bug that doesn't show if u or ur friends were online or offline.. i mean the green dop of active sign doesn't show . So please fix the visual bug,not good
Facebook,"New update is just trash, thats all i gotta say. Pretty sure most of us agree. It's 2022 and Instagram still gives us updated we don't ask for",not good
Twitter,Really ozm to be use and learning knowledge,good
WhatsApp,I can't login my account it's always showing AN UNKNOWN NETWORK ERROR HAS OCCURRED I hope they fix this it's really annoying.,not good
LINE,Rele wrial me,good
LINE,Glitch glitch glitch and only glitch This app this goings-on worst day by day I'm not able to put any filter it suks,not good
LINE,In my phone i dont get effects while msging,good
Snapchat,Its good,good
Instagram,Hurry,good
Snapchat,Good fichers,good
TikTok,Instagram very good application,good
Instagram,Its not goodi have lost my 30 accnt ,not good
Snapchat,My earnings apk,good
WhatsApp,It's very good,good
TikTok,This is a best app,good
Instagram,Now it's little fun on Instagram to explore new things.,good
LINE,Awesome app,good
LINE,Fix the algorithm. Edit: Still fix your algorithm but this bug you Got going on sucks . Fix it too.,not good
Twitter,Only let's you load up a limit a day. Request review link does not work. Instagram take down pictures. This use to be a great app but it is starting to become a MySpace. Time to say goodbye to instagram as I did facebook years ago. Alot of bugs and gives viruses to your computer and phone.,not good
TikTok,This app is very cool and it is not fake app this is real and reels infect is very cool,good
Snapchat,It is a super duper app i love this and this app was entertaining me thanks for making this Instragram ,good
Snapchat,It's take too much time to upload any story in well network condition ,not good
Instagram,Wow very cool,not good
Instagram,Hello Instagram plzzz. Solf my problem add your sticker not show,good
Facebook,Its good app,good
LINE,"Great app, but wont me update to the latest version",not good
Twitter,Lovely app but can't find music feature like I used to be before being resetting,good
Instagram,I can not open my instagram it's white screen. Please fix it !,not good
Snapchat,"Absolutely amazing, love instagram",good
WhatsApp,Awesome fantastic fabulous evergreen,good
WhatsApp,It's a nice app So good really,good
Snapchat,Good app,good
WhatsApp,The audio call option is gone in the new update,not good
LINE,Just Awesome,good
Twitter,"There has been an issue going on lately with the direct messages Sometimes I don't get notified when my friends message me, Most of the time I would receive messages but I won't see it on the chat I would only ever see some of their messages a few minutes after it was sent I recommend that this really needs to be fixed",not good
Snapchat,Happy Sharif boy,good
WhatsApp,I can't react on messages and didn't have that background fill up feature too this needs to be fix asap.,good
Twitter,my post's you have liked option is not working,not good
LINE,Cool,good
TikTok,Naic and,good
Instagram,Please follow my account on Instagram @mr.sufyan___,good
TikTok,"Why i cannot uncheck or stop ""SUGGESTION"" feed on my Instagram feeds ? It's keep showing me other feed that I DON'T even follow or like it. PLEASE FIX THIS !",neutral
LINE,"App was good at first , but now i am not able to post any story it only shows posting and never get posted . My one story is posting since last 6 hours . I have reported a problem on Instagram as well but not taking any serious action . I am not able to switch account also , dur to this.",not good
WhatsApp,Most worst social app too much glitch nd login problem ,not good
WhatsApp,When i installed this app many times no user name option and password option showed that's a big problem for me I'm not sacrificed this app,not good
WhatsApp,I like this app,good
Twitter,It's dope,not good
Twitter,"Any shared post by anyone in DM, I'm not able to open it in Insta app, it's directly going on browser n opening login window. Don't know what is wrong with this update....",not good
